,data_station,real_station,location,real_line
255,YONGE-UNIVERSITY SUBW,,Misc,
256,KIPLING STATION (EXITI,kipling,Station,BD
257,ISLINGTON STATION (EXI,islington,Station,BD
258,KENNEDY BD STATION (PL,kennedy,Station,SRT
259,UNION STATION (APPROAC,union,Station,YU
260,ROSEDALE STATION (APPR,rosedale,Station,YU
261,CHRISTIE STATION (LEAV,christie,Station,BD
262,BLOOR - DANFORTH LINE,bloor,Misc,
263,UNION TO KING,union,Misc,YU
264,BROADVIEW TO SHERBOURN,broadview,Misc,BD
265,UNION STATION (ENTERIN,union,Station,YU
266,BROADVIEW TO YONGE STA,broadview,Misc,BD
267,169 DANFORTH AVENUE,,Misc,
268,BROADVIEW AND DANFORTH,broadview,Misc,BD
269,WARDEN STATION (APPR,warden,Station,BD
270,ST CLAIR STATION - UPP,st clair,Station,YU
271,BROADVIEW TO ST GEORGE,broadview,Misc,BD
272,DUPONT STATION ( APPRO,dupont,Station,YU
273,ST CLAIR STATION PLEAS,st clair,Station,YU
274,CHESTER STATION (LEAVI,chester,Station,BD
275,LESLIE STATION APROACH,leslie,Station,SHP
276,UNION STATION - SALES,union,Station,YU
277,UNION STATION - BOOTH,union,Station,YU
278,ISLINGTON STATION ( AP,islington,Station,BD
279,KENNEDY BD STATION ( A,kennedy,Station,SRT
280,DUPONT STATION APPROAC,dupont,Station,YU
281,WILSON STATION (EXITIN,wilson,Station,YU
282,ST CLAIR WEST,st clair west,Misc,YU
283,ST GEORGE TO BROADVIEW,st george,Misc,
284,BESSARIAN STATION,bessarion,Station,SHP
285,DOWNSVIEWSTATION,downsview park,Station,YU
286,YONGE/UNIVERSITY BLOOR,,Misc,
287,YONGE UNIVERSITY/BLOOR,,Misc,
288,YONGE/UNIVERISITY-BLOO,,Misc,
289,YONGE/UNIVERSITY & BLO,,Misc,
290,YONGE/UINVERSITY & BLO,,Misc,
291,SHEPPARD STATION TO YO,sheppard,Station,
292,YONGE/UNIVERSITY AND B,,Misc,
293,YONGE UNIVERSITY AND B,,Misc,
294,UNION STATION TO KING,union,Station,YU
295,WELLESLEY TO COLLEGE,wellesley,Misc,YU
296,SHEPPARD TO BAYVIEW,sheppard,Misc,
297,MCCOWAN CARHOUSE,mccowan,Misc,SRT
298,HARVEY SHOP,,Misc,
299,KIPLING TO ISLINGTON,kipling,Misc,BD
300,KIPLING TO ROYAL YORK,kipling,Misc,BD
301,BLOOR STATON,bloor,Misc,
302,UNION TO ST ANDREW,union,Misc,YU
303,VICTORIA PARK,victoria park,Misc,BD
304,YONGE UNIVERSTIY SUBWA,,Misc,
305,WARDEN STATION TO KENN,warden,Station,BD
306,MC BRIEN BUILDING,,Misc,
307,WILSON TO SHEPPARD WES,wilson,Misc,YU
308,YORK UNIVERSITY STATIO,york university,Misc,YU
309,EGLINTON WEST TO ST CL,eglinton,Misc,YU
310,UNION TO KING STATION,king,Station,YU
311,UNION STATION TO ST AN,union,Station,YU
312,YORK MILLS STATION (A,york mills,Station,YU
313,WILSON STRUCTURE BUILD,wilson,Misc,YU
314,SHEPPARD WYE,sheppard,Misc,
315,ATC TERRIROTY,,Misc,
316,YORKDALE TO DUPONT STA,dupont,Misc,YU
317,DUPONT TO ST CLAIR WES,dupont,Misc,YU
318,QUEENS QUAY STATION,queens park,Station,YU
319,HIGHWAY 407 STATION,highway 407,Station,YU
320,CLANTON PARK PORTAL,,Misc,
