Measure Name,Year,Period,Value
TTC Monthly Ridership,2014,Jul,39939000
TTC Monthly Ridership,2014,Aug,38795000
TTC Monthly Ridership,2014,Sep,53197000
TTC Monthly Ridership,2014,Oct,43581000
TTC Monthly Ridership,2014,Nov,45322000
TTC Monthly Ridership,2014,Dec,43596000
TTC Monthly Ridership,2015,Jan,45027000
TTC Monthly Ridership,2015,Feb,41682000
TTC Monthly Ridership,2015,Mar,50982000
TTC Monthly Ridership,2015,Apr,42045000
TTC Monthly Ridership,2015,May,41505000
TTC Monthly Ridership,2015,Jun,49881000
TTC Monthly Ridership,2015,Jul,39247000
TTC Monthly Ridership,2015,Aug,38275000
TTC Monthly Ridership,2015,Sep,52277000
TTC Monthly Ridership,2015,Oct,42918000
TTC Monthly Ridership,2015,Nov,44175000
TTC Monthly Ridership,2015,Dec,45991000
TTC Monthly Ridership,2016,Jan,43490000
TTC Monthly Ridership,2016,Feb,40371000
TTC Monthly Ridership,2016,Mar,50867000
TTC Monthly Ridership,2016,Apr,42816000
TTC Monthly Ridership,2016,May,41308000
TTC Monthly Ridership,2016,Jun,51285000
TTC Monthly Ridership,2016,Jul,41274000
TTC Monthly Ridership,2016,Aug,37974000
TTC Monthly Ridership,2016,Sep,52481000
TTC Monthly Ridership,2016,Oct,43064000
TTC Monthly Ridership,2016,Nov,44112000
TTC Monthly Ridership,2016,Dec,49037000
TTC Monthly Ridership,2017,Jan,39606000
TTC Monthly Ridership,2017,Feb,40966000
TTC Monthly Ridership,2017,Mar,51768000
TTC Monthly Ridership,2017,Apr,41978000
TTC Monthly Ridership,2017,May,40598000
TTC Monthly Ridership,2017,Jun,52528000
TTC Monthly Ridership,2017,Jul,40182000
TTC Monthly Ridership,2017,Aug,38144000
TTC Monthly Ridership,2017,Sep,52473000
TTC Monthly Ridership,2017,Oct,42279000
TTC Monthly Ridership,2017,Nov,43080000
TTC Monthly Ridership,2017,Dec,49614000
TTC Monthly Ridership,2018,Jan,47565000
TTC Monthly Ridership,2018,Feb,41112000
TTC Monthly Ridership,2018,Mar,50732000
TTC Monthly Ridership,2018,Apr,41302000
TTC Monthly Ridership,2018,May,39941000
TTC Monthly Ridership,2018,Jun,50966000
TTC Monthly Ridership,2018,Jul,39054000
TTC Monthly Ridership,2018,Aug,37217000
TTC Monthly Ridership,2018,Sep,41986000
